"","Conflict_Name","Conflict_Type","Region","Start_Year","End_Year","Status","Primary_Country","Pre_War_Unemployment_%","During_War_Unemployment_%","Unemployment_Spike_Percentage_Points","Most_Affected_Sector","Youth_Unemployment_Change_%","Pre_War_Poverty_Rate_%","During_War_Poverty_Rate_%","Extreme_Poverty_Rate_%","Food_Insecurity_Rate_%","Households_Fallen_Into_Poverty_Estimate","GDP_Change_%","Inflation_Rate_%","Currency_Devaluation_%","Cost_of_War_USD","Estimated_Reconstruction_Cost_USD","Informal_Economy_Size_Pre_War_%","Informal_Economy_Size_During_War_%","Black_Market_Activity_Level","Primary_Black_Market_Goods","Currency_Black_Market_Rate_Gap_%","War_Profiteering_Documented"
"1116","Russia-Ukraine War","Interstate War","Europe",2022,2026,"Ongoing","Ukraine",11.99,15.59,3.61,"Manufacturing",4.64,19.33,21.59,11.55,14.27,551,-23.24,75.08,44.92,205173395697,380385190999,15.69,20.58,"High","weapons, fuel, food",16.39,"Yes"
"1117","Syrian Civil War","Civil War","Middle East",2011,2026,"Ongoing","Syria",4.05,22.09,18.04,"Energy",25.81,25.76,46.74,31.08,39.93,49726,-19.24,62.09,100.14,129078529352,281031353029,39.07,82.79,"High","medicine, fuel",60.34,"Yes"
"1118","Israel-Iran War","Interstate War","Middle East",2025,2026,"Ongoing","Iran",6.64,13.55,6.91,"Services",9.64,17.31,21,6.81,16.64,9593,-48.74,84.84,118.73,198497362787,505583417617,11.14,32.29,"Low","medicine",11.16,"Yes"
"1119","Iraq War","Interstate War","Middle East",2003,2011,"Resolved","Iraq",11.1,21.8,10.7,"Agriculture",12.18,14.53,23.73,10.27,19.17,51559,-38.11,53.84,64.05,376728163885,1023174544027,19.53,39.93,"Dominant","currency, fuel",9.51,"No"
"1120","Israel-Hamas War","Asymmetric War","Middle East",2023,2026,"Ongoing","Israel",10.35,36.27,25.92,"Manufacturing",31.92,24.79,51.36,22.19,45.94,506,-82.66,83.24,59.18,277673472006,454970662446,21.76,46.2,"Dominant","water",10.16,"Yes"
"1121","WWII (Germany)","World War","Europe",1939,1945,"Resolved","Germany",12.53,24.93,12.4,"Energy",15.73,13.85,21.62,9.68,17.33,18405,-21.2,54.79,75.83,283470153632,985604791220,30.18,73.42,"Moderate","weapons",260.44,"Yes"
"1122","Tigray Conflict","Civil War","Africa",2020,2022,"Resolved","Ethiopia",7.93,8.73,0.8,"Energy",1.02,18.38,19.14,8.06,10.95,15151,-22.49,19.76,22.75,263630638861,968327362664,27.86,45.75,"Low","fuel, water, medicine",12.4,"No"
"1123","WWII (Japan)","World War","East Asia",1939,1945,"Resolved","Japan",12.94,18.19,5.24,"Agriculture",6.33,11.25,14.14,6.25,9.11,6303,-20.74,95.92,114.9,205244160464,420095187864,34.38,63.49,"Moderate","currency",240.81,"Yes"
"1124","Yemen Civil War","Civil War","Middle East",2015,2026,"Ongoing","Yemen",8.01,38.19,30.17,"Construction",38.7,22.42,41.82,28.41,21.27,1311996,-25.09,77.52,136.64,428227797770,1418612333170,15.6,46.73,"Moderate","weapons",2.46,"No"
"1125","Russia-Ukraine War","Interstate War","Europe",2022,2026,"Ongoing","Russia",14.83,31.73,16.9,"Services",20.96,28.39,43.27,13.23,34.69,7415,-12.07,37.1,25.84,66103860588,137980336857,35.88,69.6,"Moderate","currency, food, water",22.67,"Yes"
"1126","Israel-Hamas War","Asymmetric War","Middle East",2023,2026,"Ongoing","Israel",5.67,28.27,22.6,"Tourism",25.77,14.91,38.24,25.58,34.36,2695,-64.3,61.55,102.59,165313913904,322017611068,38.7,72.95,"Low","fuel, medicine, water",23.91,"Yes"
"1127","Israel-Iran War","Interstate War","Middle East",2025,2026,"Ongoing","Iran",11.7,14.87,3.17,"Construction",4.08,27.32,29.72,17.76,23.15,3046,-36.22,120.16,60.89,367880698864,614903059980,13.75,24.86,"Low","weapons",16.48,"No"
"1128","Yemen Civil War","Civil War","Middle East",2015,2026,"Ongoing","Yemen",8.31,43.09,34.78,"Energy",46.05,14.98,39.05,25.22,20.53,1740,-38.48,54.95,100.84,148983840707,226561368190,17.23,47.19,"Moderate","fuel, weapons",16.89,"Yes"
"1129","Israel-Iran War","Interstate War","Middle East",2025,2026,"Ongoing","Israel",12.5,33.88,21.37,"Services",28.78,19.82,40.65,12.36,25.98,8920,-27.35,87.71,107.4,303710709651,1036402819920,28.72,56.76,"Moderate","currency, water",355.6,"Yes"
"1130","Israel-Hamas War","Asymmetric War","Middle East",2023,2026,"Ongoing","Palestine (Gaza)",5.62,27.12,21.5,"Tourism",27.68,16.85,37.09,19.38,32.93,24418,-69.26,13.84,17.8,413783118775,703800072400,10.38,18.83,"Dominant","water, currency, weapons",13.06,"No"
"1131","WWII (Japan)","World War","East Asia",1939,1945,"Resolved","Japan",3.03,5.93,2.91,"Tourism",3.2,28.37,31.5,17.39,15.97,886423,-31.44,141.84,148.6,347704527990,922413381557,37.85,87.53,"Low","water, medicine",291.03,"Yes"
"1132","Tigray Conflict","Civil War","Africa",2020,2022,"Resolved","Ethiopia",7.86,10.48,2.62,"Construction",2.94,6.25,8.11,2.82,5.55,22156,-23.52,18.78,35.92,291724929510,803043867654,29.33,56.02,"Low","food, currency",379.57,"No"
"1133","Iraq War","Interstate War","Middle East",2003,2011,"Resolved","Iraq",10.97,32,21.03,"Energy",25.67,8.83,23.86,13.51,15.52,13016,-18.96,64.16,102.05,384397243522,876617160639,15.5,24.53,"Low","currency, food",14.5,"No"
"1134","DRC Conflict","Civil War","Africa",1996,2026,"Ongoing","DRC",9.71,24.41,14.7,"Tourism",18.01,28.76,45.36,16.83,27.53,5365,-49.14,34.62,35.7,144770838639,329052072966,29.56,59.91,"Low","currency",295.44,"Yes"
"1135","Yemen Civil War","Civil War","Middle East",2015,2026,"Ongoing","Yemen",10.25,51.95,41.7,"Agriculture",60.55,20.78,70,25.29,48.44,4997,-18.04,106.33,149.66,464039374243,1706996635022,30.29,59.43,"Dominant","currency, medicine, fuel",362.36,"Yes"
"1136","Israel-Hamas War","Asymmetric War","Middle East",2023,2026,"Ongoing","Palestine (Gaza)",10.02,19,8.99,"Services",11.74,6.96,12.25,5.22,7.84,168661,-73.93,32.3,25.45,331059033992,690774344891,28.51,83.98,"Dominant","medicine",68.5,"Yes"
"1137","WWII (Japan)","World War","East Asia",1939,1945,"Resolved","Japan",3.38,6.94,3.56,"Agriculture",4.6,19.97,22.75,14.12,13.03,2565,-47.09,22.77,42.61,263041152600,520763558169,37.92,90,"Low","fuel, medicine",85.92,"Yes"
"1138","Afghanistan War","Interstate/Counter-insurgency","South Asia",2001,2021,"Resolved","Afghanistan",10.09,18.42,8.33,"Tourism",10.41,25.63,32.83,17.37,18.9,2209,-16.84,6.49,4.64,418345022508,862005787174,35.74,72.16,"High","fuel, weapons",48.22,"No"
"1139","Afghanistan War","Interstate/Counter-insurgency","South Asia",2001,2021,"Resolved","Afghanistan",11.17,31.35,20.18,"Manufacturing",23.38,18.25,39.56,18.88,33.2,48439,-19.5,35.29,27.45,155748542628,606186155533,25.14,42.93,"High","fuel, food, weapons",6.39,"No"
"1140","Syrian Civil War","Civil War","Middle East",2011,2026,"Ongoing","Syria",14.63,51.04,36.41,"Construction",42.34,25.73,51.35,32.79,31.73,123008,-9.97,128.34,69.22,477686143406,1224901508080,32.21,58.17,"Low","weapons",216.61,"Yes"
"1141","Tigray Conflict","Civil War","Africa",2020,2022,"Resolved","Ethiopia",3.12,5.96,2.84,"Agriculture",3.75,6.02,7.82,2.52,6.99,467,-36.77,106.68,182.88,65824259971,246489736186,14.12,40.73,"Moderate","medicine, weapons, water",0.68,"Yes"
"1142","Tigray Conflict","Civil War","Africa",2020,2022,"Resolved","Ethiopia",3.96,10.22,6.26,"Construction",8.87,23.83,29.98,9.88,21.18,17517,-5.03,126.55,241.45,475653057508,1253074883672,19.15,46.57,"Low","food, medicine",4.32,"No"
"1143","WWII (Germany)","World War","Europe",1939,1945,"Resolved","Germany",11.44,15.46,4.01,"Energy",5.88,8.13,12.39,5.67,8.36,39166,-45.18,74.82,83.75,238205294203,931183441133,21.21,58.61,"Moderate","fuel",450.92,"Yes"
"1144","Tigray Conflict","Civil War","Africa",2020,2022,"Resolved","Ethiopia",3.53,5.95,2.42,"Energy",2.95,17.23,19.75,9.74,16.62,17587,-39.58,43.41,78.22,125166768751,461330664444,16.61,42.4,"Low","fuel",11.54,"Yes"
"1145","Iraq War","Interstate War","Middle East",2003,2011,"Resolved","Iraq",12.89,20.59,7.7,"Construction",8.85,12.05,17.41,7.94,11.5,30252,-30.56,78.77,69.18,294893459592,567393213448,25.03,30.78,"Moderate","food, currency, weapons",3.32,"Yes"
"1146","WWII (Japan)","World War","East Asia",1939,1945,"Resolved","Japan",13.28,18.61,5.33,"Agriculture",7.11,25.17,31.3,21.74,22.37,24821,-19.45,47.27,65.72,446240309274,893440974383,37.33,77.17,"Moderate","medicine",228.26,"Yes"
"1147","Yemen Civil War","Civil War","Middle East",2015,2026,"Ongoing","Yemen",4.74,19.47,14.74,"Services",20.43,26.24,42.31,18.98,27.35,27949,-16.81,19.91,14.59,426507438035,1006895902260,36.49,85.17,"High","currency",51.9,"Yes"
"1148","Syrian Civil War","Civil War","Middle East",2011,2026,"Ongoing","Syria",5.26,8.69,3.43,"Services",4.16,19.6,22.91,10.01,20.48,596792,-22.01,46.73,63.86,474255320466,1389309883659,38.23,71.46,"High","weapons, currency, medicine",86.77,"Yes"
"1149","Russia-Ukraine War","Interstate War","Europe",2022,2026,"Ongoing","Ukraine",4.96,7.04,2.07,"Construction",2.56,5.67,7.37,4.19,4.54,15907820,-40.62,30.51,17.4,238660072621,607129745259,13.34,34.72,"Low","medicine",1.89,"No"
"1150","WWII (Germany)","World War","Europe",1939,1945,"Resolved","Germany",10.66,24.3,13.64,"Agriculture",20.06,10.19,25.16,15.24,19.68,1026,-22.81,107.32,212.26,300700126588,629342001471,36.65,90,"Dominant","medicine, fuel, water",384.2,"No"
"1151","Israel-Hamas War","Asymmetric War","Middle East",2023,2026,"Ongoing","Israel",13.29,34.1,20.82,"Construction",28.06,26.31,46.71,31.86,33.63,27825,-62.15,94.76,63.95,313079335886,484623949922,31.13,72.09,"Moderate","fuel, food",239.69,"No"
"1152","Israel-Iran War","Interstate War","Middle East",2025,2026,"Ongoing","Israel",3.86,11.38,7.52,"Energy",10.59,26.46,33.04,10.52,20.59,80585,-39.13,78.54,66.01,413117381033,791013860402,18.25,27.67,"Moderate","fuel, currency, weapons",6.85,"Yes"
"1153","WWII (Germany)","World War","Europe",1939,1945,"Resolved","Germany",13.58,15.82,2.24,"Construction",3.02,13.94,15.28,6.71,11.11,24539,-6.41,29.93,45.66,290526411519,1073322002242,10.86,24.29,"Low","currency, medicine",12.25,"Yes"
"1154","Russia-Ukraine War","Interstate War","Europe",2022,2026,"Ongoing","Ukraine",6.65,18.9,12.26,"Manufacturing",14.18,24.71,33.91,18.09,21.89,132961,-14.74,31.62,27.09,145388884055,484541652125,20.99,29.37,"Dominant","currency, water, food",7.55,"Yes"
"1155","Syrian Civil War","Civil War","Middle East",2011,2026,"Ongoing","Syria",9.97,29.24,19.27,"Services",22.3,16.81,26.49,9.82,15.69,2570,-44.54,90.97,75.36,38800829140,116622660241,10.77,28.41,"Dominant","weapons, water",19.73,"Yes"
"1156","Tigray Conflict","Civil War","Africa",2020,2022,"Resolved","Ethiopia",9.13,19.81,10.69,"Manufacturing",12.7,28.78,39.19,23.74,21.48,29052,-24.3,44.31,27.55,74981095594,154361193902,32.96,90,"Low","weapons",381.82,"Yes"
"1157","Israel-Hamas War","Asymmetric War","Middle East",2023,2026,"Ongoing","Israel",10.82,23.37,12.56,"Energy",14.24,16.12,23.45,9.74,12.03,18071,-72.51,58.46,51.95,5079268725,14028006423,19.93,35.56,"High","fuel",18.19,"Yes"
"1158","WWII (Japan)","World War","East Asia",1939,1945,"Resolved","Japan",7.29,18.69,11.4,"Services",15.79,26.2,35.3,18.09,18.21,8802,-34.88,28.87,15.55,407076458867,1072100067652,37.94,84.82,"Low","fuel",108.96,"Yes"
"1159","Syrian Civil War","Civil War","Middle East",2011,2026,"Ongoing","Syria",13.01,71.86,58.85,"Services",65.83,15.94,47.75,20.38,26.56,482802,-31.03,76,63.48,123269057540,279787100473,14.67,29.03,"High","water, weapons, currency",14.09,"Yes"
"1160","WWII (Japan)","World War","East Asia",1939,1945,"Resolved","Japan",14.85,22.76,7.91,"Energy",11.41,23.25,31.67,12.92,24.74,2778,-34.87,137.59,75.55,206315489581,368558761047,29.96,82.22,"Dominant","food",231.56,"Yes"
"1161","Tigray Conflict","Civil War","Africa",2020,2022,"Resolved","Ethiopia",4.09,5.39,1.31,"Agriculture",1.53,17.83,18.85,11.51,10.19,79838,-20.93,109.44,101.33,176201276213,544844953490,27.91,55.18,"Dominant","fuel, currency, medicine",342.46,"Yes"
"1162","Israel-Hamas War","Asymmetric War","Middle East",2023,2026,"Ongoing","Israel",4.35,24.93,20.58,"Agriculture",24.1,27.3,40.59,16.3,32.49,2545,-65.37,77.75,91.31,475861035655,1564202910488,18.85,51.33,"Dominant","water",160.83,"Yes"
"1163","Israel-Iran War","Interstate War","Middle East",2025,2026,"Ongoing","Iran",13.46,27.73,14.27,"Construction",17.06,14.61,22.8,15.09,15.13,8016,-8.43,61.26,59.26,222316420357,788471326763,17.44,30.62,"Dominant","food, weapons, currency",16.91,"Yes"
"1164","Syrian Civil War","Civil War","Middle East",2011,2026,"Ongoing","Syria",13.57,21.37,7.8,"Agriculture",9.08,24.42,33.47,18.33,25.62,193,-9.68,82.88,153.4,414493543170,1586980790791,22.13,61.42,"Dominant","weapons, currency",207.14,"No"
"1165","Afghanistan War","Interstate/Counter-insurgency","South Asia",2001,2021,"Resolved","Afghanistan",5.39,8.67,3.27,"Energy",4.73,18.44,21.25,13.49,11.89,19351,-27.56,75.21,83.78,322584497077,726194019704,33.74,54.95,"Dominant","medicine, fuel",427.51,"No"
"1166","Tigray Conflict","Civil War","Africa",2020,2022,"Resolved","Ethiopia",9.49,10.68,1.19,"Agriculture",1.38,29.08,30.06,20.51,15.97,1412,-40.28,48.74,49.47,167064073458,415159934564,24.17,48.34,"Dominant","currency, weapons",1.19,"Yes"
"1167","Russia-Ukraine War","Interstate War","Europe",2022,2026,"Ongoing","Russia",9.95,19.11,9.17,"Construction",11.8,10.93,15.73,7.83,11.18,131712,-6.94,40.79,26.92,456634655972,1746928870129,24.57,55.91,"Moderate","food, medicine, weapons",338.38,"No"
"1168","Iraq War","Interstate War","Middle East",2003,2011,"Resolved","Iraq",10.37,19.25,8.89,"Agriculture",12,15.46,24.72,14.2,19.32,1546,-24.39,36.63,25.82,273116447744,852870468228,27.86,55.31,"Moderate","weapons, food, currency",268.9,"Yes"
"1169","Israel-Iran War","Interstate War","Middle East",2025,2026,"Ongoing","Iran",11.9,22.24,10.34,"Energy",12.15,11.9,21.1,10.04,15.96,296429,-16.07,59.32,104.23,168751145964,613407612011,20.23,37.77,"High","water",14.72,"Yes"
"1170","WWII (Japan)","World War","East Asia",1939,1945,"Resolved","Japan",10.66,14.93,4.27,"Construction",5.1,12.62,17.68,10.43,11.09,2358828,-8.31,70.36,125.65,277062193457,715750283831,21.44,51.31,"Moderate","weapons, food",358.34,"Yes"
"1171","DRC Conflict","Civil War","Africa",1996,2026,"Ongoing","DRC",11.44,22.77,11.32,"Tourism",16.63,5.3,13.39,5.07,11.29,9046,-19.97,11.57,17.73,413256074020,1100127310628,30.46,45.06,"Dominant","fuel",0.46,"No"
"1172","WWII (Japan)","World War","East Asia",1939,1945,"Resolved","Japan",8.33,13.77,5.44,"Agriculture",7.81,15.45,19.05,12.46,13.99,204373,-46.5,98.85,128.9,418784507996,836940278754,35.81,86.96,"Low","medicine",282.43,"Yes"
"1173","Russia-Ukraine War","Interstate War","Europe",2022,2026,"Ongoing","Russia",3.01,8.03,5.02,"Construction",7.53,22.31,27.77,18.4,19.69,11417,-30.51,57.54,60.47,323310180039,810983213677,26.22,51.37,"Dominant","water, fuel, food",262.59,"No"
"1174","Syrian Civil War","Civil War","Middle East",2011,2026,"Ongoing","Syria",4.47,24.69,20.23,"Construction",23.64,22.18,40.91,19.48,34.28,437,-43.91,60.97,120.42,489513641143,1159708096423,17.32,35.59,"Low","currency, weapons, medicine",19.15,"Yes"
"1175","Yemen Civil War","Civil War","Middle East",2015,2026,"Ongoing","Yemen",8.42,39.33,30.9,"Tourism",40.85,24.9,44.06,13.72,24.01,1593,-16.31,20.02,23.39,356679211379,850533242545,17.62,37.15,"High","currency, weapons, fuel",5.07,"Yes"
"1176","Afghanistan War","Interstate/Counter-insurgency","South Asia",2001,2021,"Resolved","Afghanistan",9.23,20.8,11.57,"Manufacturing",14.43,14.61,25.97,11.03,22.54,27757,-7.12,175.96,336.89,18042381188,36435198986,27.25,41.41,"Dominant","water, fuel",14.5,"Yes"
"1177","Israel-Iran War","Interstate War","Middle East",2025,2026,"Ongoing","Israel",10.38,12.26,1.88,"Agriculture",2.27,29.99,31.72,11.75,25.77,8223,-42.28,53.48,57.9,411889762527,1106192607512,24.14,52.91,"Moderate","medicine",413.16,"Yes"
"1178","Syrian Civil War","Civil War","Middle East",2011,2026,"Ongoing","Syria",6.49,20.33,13.84,"Energy",16.81,7.96,22.55,12.76,15.43,11670,-9.66,20.48,29.76,30770364617,107308477920,14.34,24.47,"High","fuel, currency, weapons",18.66,"Yes"
"1179","WWII (Germany)","World War","Europe",1939,1945,"Resolved","Germany",3.55,9.86,6.31,"Tourism",6.98,27.83,34.81,23.36,25.41,6971,-36.46,92.93,94.71,481240156033,1426495396001,35.32,74.32,"Moderate","food, water, fuel",393.01,"Yes"
"1180","Syrian Civil War","Civil War","Middle East",2011,2026,"Ongoing","Syria",8.49,31.22,22.74,"Construction",31.4,24.66,44.47,14.55,37.71,28148,-30.64,45.06,43.15,16766449371,34255998270,21.4,38.89,"Moderate","food",14.97,"Yes"
"1181","WWII (Germany)","World War","Europe",1939,1945,"Resolved","Germany",4.49,10.02,5.52,"Services",7.86,8.24,14.69,6.61,9,114656,-24.82,11.25,8.63,388890190327,730402922781,13.09,28.61,"High","medicine, weapons",15.53,"Yes"
"1182","WWII (Japan)","World War","East Asia",1939,1945,"Resolved","Japan",11.96,32.02,20.06,"Energy",24.98,29.86,44.28,21.24,31.96,1533,-12.19,97.05,143.6,163994055505,355151079473,22.74,37.4,"Dominant","fuel, medicine, weapons",18,"Yes"
"1183","Iraq War","Interstate War","Middle East",2003,2011,"Resolved","Iraq",10.29,25.68,15.4,"Manufacturing",20.7,10.58,24.59,7.69,14.84,3909,-5.55,19.76,29.81,36992496505,118798065960,22.62,52.08,"High","medicine",105.78,"Yes"
"1184","WWII (Japan)","World War","East Asia",1939,1945,"Resolved","Japan",6.22,14.89,8.67,"Energy",9.91,27.94,34.98,19.56,25.71,3611,-39.52,86.14,143.56,398769909644,1246450714593,20.2,53.78,"Moderate","currency",258.27,"No"
"1185","Tigray Conflict","Civil War","Africa",2020,2022,"Resolved","Ethiopia",4.04,8.47,4.43,"Construction",5.35,12.21,15.3,4.71,8.39,1613,-41.19,77.72,51.52,420959963269,1035718973086,27.09,72.34,"Low","food",155.65,"Yes"
"1186","Yemen Civil War","Civil War","Middle East",2015,2026,"Ongoing","Yemen",12.01,64.37,52.36,"Manufacturing",65.95,27.4,62.49,26.5,31.63,55623,-46.65,17.4,17,367179920267,842709135957,15.86,24,"Moderate","food, water, fuel",13.17,"Yes"
"1187","Yemen Civil War","Civil War","Middle East",2015,2026,"Ongoing","Yemen",5.69,15.24,9.55,"Services",13.43,14.68,25.92,12.07,15.41,1291,-17.23,65.27,53.77,333546058030,635800147876,35.27,90,"Low","weapons, medicine",417.6,"No"
"1188","DRC Conflict","Civil War","Africa",1996,2026,"Ongoing","DRC",12.6,26,13.39,"Agriculture",14.73,12.76,23.28,7.69,12.8,29816,-38.16,58.56,71.62,403570176132,906819161564,14.79,28.65,"Moderate","currency, weapons",12.04,"Yes"
"1189","Israel-Hamas War","Asymmetric War","Middle East",2023,2026,"Ongoing","Israel",14.92,29.5,14.58,"Construction",17.4,28.76,45.83,15.54,23.19,51642,-84.9,54.22,96.12,11180403733,33666682785,18.31,50.39,"Low","food, weapons",141.73,"No"
"1190","Syrian Civil War","Civil War","Middle East",2011,2026,"Ongoing","Syria",6.63,11.62,4.99,"Agriculture",6.02,10.16,13.14,9.05,8.07,4294,-23.65,103.53,143.65,401652722070,1304971245067,39.7,90,"Moderate","food, weapons, fuel",246.01,"Yes"
"1191","WWII (Germany)","World War","Europe",1939,1945,"Resolved","Germany",3.02,4.18,1.16,"Manufacturing",1.6,7.87,8.53,3.57,5.45,5362,-30.2,104.83,55.7,347220574532,1238321658735,26.76,64.61,"Low","currency, weapons, water",176.06,"Yes"
"1192","WWII (Japan)","World War","East Asia",1939,1945,"Resolved","Japan",12.92,25.68,12.76,"Tourism",17.58,22.67,36.76,24.07,26.47,43790,-31.15,30.87,20.92,400628599522,1514076104141,20.44,32.57,"Dominant","weapons",13.94,"Yes"
"1193","WWII (Germany)","World War","Europe",1939,1945,"Resolved","Germany",8.19,15.31,7.12,"Tourism",8.16,6.63,11.17,6.96,8.73,230,-30.06,83.88,55.74,265232395256,429745564759,15.43,31.65,"Dominant","fuel",14.18,"No"
"1194","Yemen Civil War","Civil War","Middle East",2015,2026,"Ongoing","Yemen",11.89,71.17,59.27,"Agriculture",79.33,6.32,47.6,19.2,25.29,159218,-36.38,26.95,18.67,44645312566,87357378352,15.47,36.14,"Low","medicine, water",2.92,"Yes"
"1195","Israel-Hamas War","Asymmetric War","Middle East",2023,2026,"Ongoing","Israel",5.81,18.2,12.38,"Energy",14.35,29.96,38.19,18.14,29.65,254640,-82.86,56.33,106.86,1934251035,5692568153,39.1,90,"Low","fuel, medicine, currency",327.85,"Yes"
"1196","Israel-Hamas War","Asymmetric War","Middle East",2023,2026,"Ongoing","Israel",14.72,26.33,11.61,"Construction",13.35,17.68,23.61,13.67,17.26,19941,-74.28,124.87,232.55,279433525238,603074938691,23.83,66.37,"Moderate","water, currency",343.5,"Yes"
"1197","Russia-Ukraine War","Interstate War","Europe",2022,2026,"Ongoing","Russia",12.64,19.63,6.99,"Tourism",10.08,26.48,32.67,12.6,21.82,10588,-46.99,40.33,64.28,237187721735,463321410758,21.96,43.25,"Dominant","weapons, fuel",4.25,"Yes"
"1198","Israel-Hamas War","Asymmetric War","Middle East",2023,2026,"Ongoing","Palestine (Gaza)",12.13,28.34,16.21,"Services",18.23,7.98,24.87,10.21,14.12,1796,-74.58,42.96,41.14,341376651413,1298883463190,23.38,62.21,"Dominant","medicine",112.11,"Yes"
"1199","Israel-Hamas War","Asymmetric War","Middle East",2023,2026,"Ongoing","Israel",9.84,17.73,7.89,"Tourism",9.94,26,32.4,21.76,19.12,31935,-64.11,59.07,35.51,189206771976,320779636824,10.54,21.83,"Dominant","weapons, water, currency",5.67,"Yes"
"1200","Israel-Hamas War","Asymmetric War","Middle East",2023,2026,"Ongoing","Palestine (Gaza)",10.85,58.14,47.29,"Services",59.44,6,62.53,37.82,35.43,19963,-83.64,139.7,92.89,427228996362,1592833907416,15.42,38.15,"Low","water, medicine",13.85,"Yes"
"1201","Iraq War","Interstate War","Middle East",2003,2011,"Resolved","Iraq",5.03,5.99,0.96,"Energy",1.1,28.08,28.81,15.91,21.03,135435,-46.97,97.75,148.23,116335182698,342668079778,38.01,90,"Low","fuel, water, food",106.77,"Yes"
"1202","WWII (Germany)","World War","Europe",1939,1945,"Resolved","Germany",14.75,26.57,11.83,"Construction",16.2,25.94,35.27,19.14,19.65,4256,-38.37,67.69,86.11,94144048834,322643405954,28.68,85.23,"Dominant","medicine, food, weapons",257.99,"No"
"1203","Afghanistan War","Interstate/Counter-insurgency","South Asia",2001,2021,"Resolved","Afghanistan",4.53,7.67,3.14,"Energy",3.91,19.36,22.54,9.18,18.2,16522,-12.76,91.79,95.89,349217523311,1388208964767,19.13,42.82,"High","water, fuel",14.16,"Yes"
"1204","Afghanistan War","Interstate/Counter-insurgency","South Asia",2001,2021,"Resolved","Afghanistan",5.77,7.45,1.67,"Agriculture",2.29,26.25,27.5,9.97,18.19,169440,-40.95,30.68,48.12,173869574750,609005728544,39.17,90,"High","weapons",118.31,"Yes"
"1205","WWII (Germany)","World War","Europe",1939,1945,"Resolved","Germany",5.62,7.92,2.3,"Agriculture",3.26,28.03,30.65,12.35,26.73,1623,-47.75,39.75,25.48,27771708326,102033457116,16.75,49.8,"Moderate","weapons, food",15.15,"Yes"
"1206","Syrian Civil War","Civil War","Middle East",2011,2026,"Ongoing","Syria",3.35,14.4,11.05,"Energy",13.31,20.71,32.95,17.9,25.66,1919,-37.85,70.82,107.54,191388897543,660156724916,24.57,70.16,"Low","fuel, water",351.78,"No"
"1207","DRC Conflict","Civil War","Africa",1996,2026,"Ongoing","DRC",9.15,23.37,14.22,"Services",19.78,15.13,24,14.36,18.24,1092,-34.58,27.71,45.76,64514216363,141519427628,22.02,51.3,"Low","weapons",16.57,"No"
"1208","Iraq War","Interstate War","Middle East",2003,2011,"Resolved","Iraq",13.13,28.27,15.14,"Services",21.61,7.77,18.4,8.79,9.49,41759,-40.19,90.37,94.4,3211644747,6594745908,20.11,35.53,"Low","fuel, food, weapons",8.91,"Yes"
"1209","Tigray Conflict","Civil War","Africa",2020,2022,"Resolved","Ethiopia",14.98,18.11,3.13,"Tourism",4.52,22.54,24.43,15.63,17.96,2320,-37.06,81.21,69.24,194039544330,443912776265,14.92,18.92,"High","food, medicine, weapons",13.53,"Yes"
"1210","WWII (Japan)","World War","East Asia",1939,1945,"Resolved","Japan",12.95,20.09,7.14,"Construction",9.16,29.79,36.35,17.72,28.1,49690,-39.71,85.71,73.05,173842950614,439171985661,30.33,73.39,"Moderate","fuel",59.73,"Yes"
"1211","Tigray Conflict","Civil War","Africa",2020,2022,"Resolved","Ethiopia",5.96,8.1,2.14,"Manufacturing",3.14,17.03,18.97,7.36,16.74,5556,-14.08,13.91,14.12,291847366529,498761395791,29.57,56.17,"Dominant","weapons, currency",286.6,"Yes"
"1212","DRC Conflict","Civil War","Africa",1996,2026,"Ongoing","DRC",3.54,10.58,7.05,"Construction",9.74,27.89,31.45,12.57,22.64,184886,-40.76,93.34,129.84,242255006841,571656408715,27.81,64.19,"Low","medicine",448.84,"Yes"
"1213","Yemen Civil War","Civil War","Middle East",2015,2026,"Ongoing","Yemen",5.8,9.53,3.73,"Manufacturing",5.19,13.35,17.11,5.59,12.48,51366,-13.8,61.41,112.99,121029811654,296604400729,11.7,31.51,"Dominant","medicine, weapons",1.43,"Yes"
"1214","DRC Conflict","Civil War","Africa",1996,2026,"Ongoing","DRC",13.73,37.57,23.85,"Services",30.17,25.64,43.18,25.45,38.37,27202,-19.02,53.03,66.08,109686819531,281946015464,29.34,53.4,"Low","medicine, fuel, water",144.48,"Yes"
"1215","Tigray Conflict","Civil War","Africa",2020,2022,"Resolved","Ethiopia",12.37,17.9,5.53,"Manufacturing",7.63,9.52,14.25,5.8,10.62,1902,-35.16,47.64,28.35,280884507950,620723022452,17.75,51.01,"Dominant","currency, water",499.84,"Yes"
"1216","Russia-Ukraine War","Interstate War","Europe",2022,2026,"Ongoing","Ukraine",11.34,20.02,8.68,"Energy",10.8,22.03,28.61,19.45,18.02,130998,-9.69,78.89,75.89,475559499624,1207994210488,18.4,44.75,"Low","food",14.42,"Yes"
"1217","Tigray Conflict","Civil War","Africa",2020,2022,"Resolved","Ethiopia",12.41,34.95,22.54,"Energy",33.07,22.9,48.78,17.6,27.86,175779,-32.03,29.25,48.41,37016676542,84975269727,31.12,45.86,"Dominant","food, medicine, water",12.63,"Yes"
